TripID,TravelRequestID,ExpenseRequestID,ExpenseDenialReason,ExpenseReimbursementReason,ExpenseReimbursementAmount,ReasonForTransportCancellation,NewTransportSelection,ReasonForNewTransport,NewHotelSelection,ReasonForNewHotel,NewModeOfTransportation,TransportationPriceDifference,ReasonForTransportationChange,ReasonForDelay,ExtensionLength,DaysPreapproved,ProcessCode
15591,TR015591,EXP015591,Personal expense,Standard travel reimbursement,320.06,,,,,,Updated Economy Flight,205.05,Client preference,,2.0,2,V19
15592,TR015592,EXP015592,Out of policy,Policy exception approved,461.22,,,,,,,,,,,3,V1
15596,TR015596,EXP015596,,Partial reimbursement,331.46,,,,,,,,,,,1,V21
15597,TR015597,EXP015597,Out of policy,Policy exception approved,175.7,Weather disruption,,,,,,,,,,3,V12
15601,TR015601,EXP015601,,Policy exception approved,429.43,,,,,,,,,,3.0,4,V18
15608,TR015608,EXP015608,,Standard travel reimbursement,373.45,,,,,,,,,Security screening,,1,V20
15609,TR015609,EXP015609,,Policy exception approved,290.29,Personal emergency,,,,,,,,,,0,V12
15610,TR015610,EXP015610,Personal expense,Policy exception approved,143.35,Operational issue,Rebooked flight,Cheaper fare,,,,,,,,4,V1
15611,TR015611,EXP015611,,Partial reimbursement,325.13,,,,,,Updated Volkswagen Golf diesel,-164.43,Client preference,,3.0,3,V19
15612,TR015612,EXP015612,,Standard travel reimbursement,361.92,,,,,,,,,,,2,V22
15618,TR015618,EXP015618,,Partial reimbursement,289.51,,,,,,,,,,,0,V1
15619,TR015619,EXP015619,,Policy exception approved,388.57,Airline schedule change,Rebooked flight,Route change,,,,,,,,0,V6
15622,TR015622,EXP015622,,Partial reimbursement,471.24,,,,,,,,,,2.0,2,V19
15623,TR015623,EXP015623,,Partial reimbursement,463.9,,,,,,,,,,,3,V20
15629,TR015629,EXP015629,,Partial reimbursement,426.18,,,,,,,,,,,4,V1
15631,TR015631,EXP015631,,Partial reimbursement,491.91,,,,,,,,,,,3,V1
15634,TR015634,EXP015634,,Policy exception approved,155.29,,,,,,,,,,,3,V22
15638,TR015638,EXP015638,,Standard travel reimbursement,129.81,Operational issue,,,,,,,,,,0,V1
15644,TR015644,EXP015644,,Policy exception approved,314.73,,,,,,,,,,,2,V1
15645,TR015645,EXP015645,,Standard travel reimbursement,169.03,,,,New hotel chosen,Location preference,,,,Weather delay,,3,V14
15648,TR015648,EXP015648,,Standard travel reimbursement,421.74,Weather disruption,,,,,,,,,,0,V12
15651,TR015651,EXP015651,,Partial reimbursement,183.07,,,,,,,,,,,2,V20
15653,TR015653,EXP015653,Out of policy,,169.92,,,,New hotel chosen,Location preference,,,,,3.0,2,V18
15657,TR015657,EXP015657,,Partial reimbursement,200.47,,Rebooked rental,Schedule conflict,,,,,,,,4,V9
15659,TR015659,EXP015659,,Policy exception approved,149.73,,,,,,,,,,,3,V14
15661,TR015661,EXP015661,,Partial reimbursement,438.91,,,,,,,,,,3.0,3,V19
15665,TR015665,EXP015665,,Policy exception approved,250.03,,,,,,,,,,2.0,4,V17
15667,TR015667,EXP015667,,Partial reimbursement,474.81,,Rebooked train,Schedule conflict,,,,,,,,0,V9
15668,TR015668,EXP015668,,Standard travel reimbursement,210.38,,,,,,,,,,,4,V1
15669,TR015669,EXP015669,,Standard travel reimbursement,435.99,,,,,,,,,,,4,V13
15670,TR015670,EXP015670,,Policy exception approved,505.07,,,,,,,,,Mechanical issue,,3,V11
15671,TR015671,EXP015671,Personal expense,Partial reimbursement,376.7,,,,,,,,,,,4,V20
15688,TR015688,EXP015688,,Policy exception approved,557.75,,,,,,,,,,,1,V1
15689,TR015689,EXP015689,,Standard travel reimbursement,227.46,,,,,,,,,,,3,V1
15690,TR015690,EXP015690,,Standard travel reimbursement,384.35,Vehicle issue,,,,,,,,,,0,V12
15694,TR015694,EXP015694,,Partial reimbursement,270.53,,Rebooked flight,Better schedule,,,Updated Economy Flight,209.24,Time constraints,,,0,V27
15695,TR015695,EXP015695,,Policy exception approved,203.74,,,,New hotel chosen,Rate change,,,,,,1,V1
15696,TR015696,EXP015696,Personal expense,Partial reimbursement,429.21,,,,,,,,,Airport congestion,,4,V1
15709,TR015709,EXP015709,,Partial reimbursement,475.97,,,,,,,,,Weather delay,3.0,3,V19
15711,TR015711,EXP015711,,Policy exception approved,291.77,,,,,,,,,Mechanical issue,,0,V1
15712,TR015712,EXP015712,Personal expense,Partial reimbursement,354.77,,,,,,,,,,,3,V1
15713,TR015713,EXP015713,Out of policy,Policy exception approved,473.92,,,,,,,,,,,4,V1
15715,TR015715,EXP015715,,Partial reimbursement,330.54,,Rebooked flight,Better schedule,,,Updated Economy Flight,57.8,Safety concern,,,2,V15
15720,TR015720,EXP015720,,Standard travel reimbursement,398.11,,,,New hotel chosen,Rate change,,,,,,4,V26
15721,TR015721,EXP015721,Missing receipt,Standard travel reimbursement,577.34,,Rebooked flight,Cheaper fare,,,,,,,,0,V9
15744,TR015744,EXP015744,,Policy exception approved,514.53,,Rebooked rental,Route change,,,Updated BMW 3 diesel,140.5,Client preference,,,2,V15
15747,TR015747,EXP015747,,Partial reimbursement,356.18,,Rebooked flight,Schedule conflict,,,Updated First Class Flight,182.15,Safety concern,,,4,V27
15751,TR015751,EXP015751,,Partial reimbursement,453.88,,,,,,,,,,4.0,1,V17
15757,TR015757,EXP015757,,Policy exception approved,107.14,,,,,,,,,Weather delay,,3,V21
15758,TR015758,EXP015758,,Policy exception approved,132.61,,,,,,,,,Mechanical issue,,2,V11
15764,TR015764,EXP015764,,Policy exception approved,157.06,,,,,,,,,,,4,V1
15769,TR015769,EXP015769,,Partial reimbursement,150.99,,Rebooked flight,Better schedule,Alternative hotel selected,Location preference,,,,,,3,V24
15783,TR015783,EXP015783,,Standard travel reimbursement,310.0,,Rebooked flight,Better schedule,,,Updated Economy Flight,283.15,Time constraints,,,0,V15
15786,TR015786,EXP015786,,Partial reimbursement,244.09,,,,,,,,,Airport congestion,,0,V1
15788,TR015788,EXP015788,,Standard travel reimbursement,500.39,,,,,,,,,,4.0,3,V19
15794,TR015794,EXP015794,,Standard travel reimbursement,350.25,,,,,,,,,,,2,V1
15795,TR015795,EXP015795,,Policy exception approved,420.26,Operational issue,,,,,,,,,,0,V1
15796,TR015796,EXP015796,,Policy exception approved,317.66,,,,,,Updated Economy Flight,-101.98,Client preference,,,0,V1
15797,TR015797,EXP015797,,Partial reimbursement,285.19,,,,,,,,,,,4,V1
15800,TR015800,EXP015800,,Policy exception approved,307.71,,,,,,,,,,,4,V2
15809,TR015809,EXP015809,Missing receipt,Partial reimbursement,133.78,,,,,,,,,,,2,V16
15813,TR015813,EXP015813,Late submission,Partial reimbursement,130.24,,,,,,,,,,,4,V14
15819,TR015819,EXP015819,,Standard travel reimbursement,131.54,,Rebooked flight,Schedule conflict,,,Updated Economy Flight,75.07,Time constraints,Weather delay,,2,V15
15827,TR015827,EXP015827,,Standard travel reimbursement,470.41,,,,,,,,,Security screening,,0,V1
15828,TR015828,EXP015828,,Standard travel reimbursement,405.18,,,,,,,,,,,2,V1
15829,TR015829,EXP015829,,Policy exception approved,191.24,,,,,,,,,,,0,V13
15835,TR015835,EXP015835,,Partial reimbursement,322.38,,,,New hotel chosen,Rate change,,,,Rental desk queue,,0,V11
15839,TR015839,EXP015839,,Partial reimbursement,455.81,,,,,,Updated BMW 3 diesel,-95.07,Cost optimization,,,4,V13
15841,TR015841,EXP015841,,Partial reimbursement,365.21,,,,,,,,,,,3,V1
15842,TR015842,EXP015842,,Policy exception approved,211.9,,,,,,,,,,,1,V22
15843,TR015843,EXP015843,,Policy exception approved,491.7,,,,,,,,,,,3,V1
15852,TR015852,EXP015852,,Partial reimbursement,577.02,,,,,,,,,,,4,V20
15881,TR015881,EXP015881,,Standard travel reimbursement,132.99,,,,,,,,,,,2,V1
15886,TR015886,EXP015886,Personal expense,Standard travel reimbursement,355.66,,,,,,,,,,,0,V1
15891,TR015891,EXP015891,Missing receipt,Policy exception approved,201.61,,,,,,,,,,,1,V1
15894,TR015894,EXP015894,,Policy exception approved,375.13,Personal emergency,,,,,,,,,,3,V1
15904,TR015904,EXP015904,,Standard travel reimbursement,313.93,,,,,,,,,,,0,V1
15912,TR015912,EXP015912,,Partial reimbursement,175.15,,,,,,,,,,,4,V1
15918,TR015918,EXP015918,,Standard travel reimbursement,553.54,,,,,,,,,,,1,V1
15919,TR015919,EXP015919,,Standard travel reimbursement,372.8,,,,,,,,,,,1,V25
15934,TR015934,EXP015934,,Partial reimbursement,291.84,,,,,,,,,,4.0,3,V17
15935,TR015935,EXP015935,,Partial reimbursement,371.81,,Rebooked flight,Route change,Alternative hotel selected,Location preference,,,,,,1,V5
15937,TR015937,EXP015937,,Partial reimbursement,574.7,,,,,,,,,Airport congestion,,3,V1
15938,TR015938,EXP015938,,Partial reimbursement,156.88,,,,,,,,,,3.0,1,V17
15947,TR015947,EXP015947,,Standard travel reimbursement,414.77,,,,New hotel chosen,Hotel overbooked,,,,,,1,V1
15950,TR015950,EXP015950,,Policy exception approved,447.85,,,,,,,,,,,0,V1
15955,TR015955,EXP015955,,Policy exception approved,495.2,,,,,,,,,,,0,V16
15959,TR015959,EXP015959,,Partial reimbursement,446.05,,,,New hotel chosen,Hotel overbooked,,,,Weather delay,,3,V1
15964,TR015964,EXP015964,,Partial reimbursement,429.17,,Rebooked flight,Cheaper fare,,,Updated First Class Flight,108.12,Time constraints,,,4,V15
15965,TR015965,EXP015965,,Standard travel reimbursement,347.28,,,,,,,,,,,4,V1
15966,TR015966,EXP015966,Personal expense,Policy exception approved,404.42,,,,New hotel chosen,Quality issue,,,,,,3,V21
15968,TR015968,EXP015968,,Partial reimbursement,212.45,,,,,,,,,Security screening,,2,V1
15969,TR015969,EXP015969,Personal expense,Partial reimbursement,254.65,,,,,,,,,,,4,V1
15971,TR015971,EXP015971,,Partial reimbursement,268.98,Personal emergency,,,,,,,,,,1,V1
15975,TR015975,EXP015975,,Policy exception approved,264.04,,,,,,,,,Weather delay,,4,V22
15978,TR015978,EXP015978,,Standard travel reimbursement,277.24,,,,,,,,,,,2,V1
15980,TR015980,EXP015980,Late submission,Partial reimbursement,470.85,,Rebooked flight,Better schedule,,,Updated Economy Flight,65.12,Cost optimization,,,1,V15
15981,TR015981,EXP015981,,Partial reimbursement,424.65,,,,,,,,,,,4,V1
15982,TR015982,EXP015982,Personal expense,Policy exception approved,470.33,,,,,,,,,,,1,V1
15988,TR015988,EXP015988,,Partial reimbursement,452.31,,,,,,,,,,,1,V22
15993,TR015993,EXP015993,,Partial reimbursement,397.53,,,,,,,,,,3.0,4,V17
15994,TR015994,EXP015994,,Standard travel reimbursement,157.67,,,,,,,,,,,0,V1
15996,TR015996,EXP015996,,Policy exception approved,255.22,,,,New hotel chosen,Rate change,,,,,,2,V1
15998,TR015998,EXP015998,,Partial reimbursement,358.55,,Rebooked flight,Better schedule,Alternative hotel selected,Quality issue,,,,,,0,V10
15999,TR015999,EXP015999,Out of policy,Standard travel reimbursement,453.95,,,,,,,,,,,0,V1
16000,TR016000,EXP016000,,Partial reimbursement,105.24,,,,,,,,,,,0,V1
16001,TR016001,EXP016001,,Policy exception approved,480.47,,,,,,,,,,,0,V1
16004,TR016004,EXP016004,,Partial reimbursement,365.46,,,,New hotel chosen,Quality issue,,,,,,3,V1
16009,TR016009,EXP016009,,Standard travel reimbursement,461.09,,,,,,,,,,,3,V1
16014,TR016014,EXP016014,,Policy exception approved,483.28,,,,,,,,,Airport congestion,,1,V28
16017,TR016017,EXP016017,,Standard travel reimbursement,447.77,,,,,,,,,,,0,V1
16018,TR016018,EXP016018,,Partial reimbursement,525.41,,,,New hotel chosen,Rate change,,,,,,4,V1
16025,TR016025,EXP016025,,Standard travel reimbursement,387.79,,,,,,,,,,3.0,1,V19
16027,TR016027,EXP016027,,Partial reimbursement,237.5,Airline schedule change,,,,,,,,,,2,V12
16028,TR016028,EXP016028,Out of policy,Policy exception approved,361.51,,,,,,,,,,,0,V14
16029,TR016029,EXP016029,,Policy exception approved,319.86,,,,,,,,,,,0,V1
16032,TR016032,EXP016032,Personal expense,Partial reimbursement,460.39,,,,,,,,,,,1,V1
16037,TR016037,EXP016037,,Partial reimbursement,215.11,,,,,,,,,Airport congestion,,4,V20
16039,TR016039,EXP016039,,Standard travel reimbursement,496.16,,,,,,,,,,,3,V1
16044,TR016044,EXP016044,Missing receipt,Policy exception approved,163.47,,,,,,,,,,,3,V14
16046,TR016046,EXP016046,,Partial reimbursement,360.14,,,,,,,,,,,1,V20
16058,TR016058,EXP016058,,Policy exception approved,273.67,,,,,,,,,,,2,V26
16059,TR016059,EXP016059,,Partial reimbursement,382.61,,,,New hotel chosen,Hotel overbooked,,,,,,3,V1
16061,TR016061,EXP016061,,Policy exception approved,227.23,,,,,,,,,,3.0,4,V18
16064,TR016064,EXP016064,,Policy exception approved,476.74,,,,,,,,,,,2,V22
16065,TR016065,EXP016065,,Policy exception approved,469.26,,,,,,,,,,,1,V1
16077,TR016077,EXP016077,,Policy exception approved,237.72,,,,,,,,,,,4,V21
16080,TR016080,EXP016080,,Policy exception approved,267.47,,,,,,,,,,2.0,4,V19
16086,TR016086,EXP016086,,Policy exception approved,456.04,,,,,,,,,,,3,V21
16092,TR016092,EXP016092,,Standard travel reimbursement,251.14,Personal emergency,,,,,,,,,,2,V12
16100,TR016100,EXP016100,,Partial reimbursement,213.48,Operational issue,Rebooked flight,Route change,Alternative hotel selected,Availability,,,,,,3,V7
16110,TR016110,EXP016110,Personal expense,Standard travel reimbursement,138.54,,,,,,,,,,,4,V1
16111,TR016111,EXP016111,,Policy exception approved,278.0,Personal emergency,,,,,,,,,,0,V12
16112,TR016112,EXP016112,,Standard travel reimbursement,338.73,,Rebooked rental,Schedule conflict,,,Updated Fiat 500 electric,125.98,Client preference,,,4,V15
16114,TR016114,EXP016114,Late submission,Partial reimbursement,327.6,,Rebooked flight,Route change,,,Updated Economy Flight,95.44,Cost optimization,Weather delay,,2,V15
16119,TR016119,EXP016119,,Partial reimbursement,299.19,,,,New hotel chosen,Location preference,,,,,,0,V25
16127,TR016127,EXP016127,,Standard travel reimbursement,239.83,Airline schedule change,Rebooked flight,Better schedule,,,,,,,,0,V1
16129,TR016129,EXP016129,,Policy exception approved,420.73,,,,,,,,,Weather delay,,2,V1
16137,TR016137,EXP016137,,Standard travel reimbursement,412.19,,,,,,,,,,,3,V1
16138,TR016138,EXP016138,Missing receipt,Policy exception approved,386.96,,,,,,,,,,,0,V25
16143,TR016143,EXP016143,,Policy exception approved,195.23,,,,,,Updated Train,-88.19,Client preference,,2.0,1,V18
16144,TR016144,EXP016144,,Policy exception approved,269.34,,Rebooked flight,Better schedule,,,Updated Business Class Flight,293.16,Cost optimization,,,0,V15
16148,TR016148,EXP016148,Out of policy,Standard travel reimbursement,354.42,,,,,,,,,Weather delay,,0,V1
16153,TR016153,EXP016153,,Policy exception approved,501.13,,,,,,,,,,,2,V1
16155,TR016155,EXP016155,,Policy exception approved,319.83,,,,,,,,,,,3,V16
16163,TR016163,EXP016163,,Policy exception approved,252.15,,,,,,,,,,,4,V1
16170,TR016170,EXP016170,,Partial reimbursement,282.28,,,,New hotel chosen,Location preference,,,,,,2,V3
16191,TR016191,EXP016191,,Policy exception approved,499.79,,,,,,,,,,,1,V1
16200,TR016200,EXP016200,,Policy exception approved,241.93,,,,,,,,,,,1,V1
16202,TR016202,EXP016202,,Standard travel reimbursement,307.85,,,,New hotel chosen,Hotel overbooked,,,,,3.0,2,V18
16205,TR016205,EXP016205,,Partial reimbursement,138.9,,,,,,,,,,,2,V1
16208,TR016208,EXP016208,,Partial reimbursement,212.11,,,,,,,,,,,0,V1
16211,TR016211,EXP016211,,Standard travel reimbursement,458.06,,,,,,,,,,4.0,3,V19
16212,TR016212,EXP016212,,Partial reimbursement,180.04,,,,,,,,,,,0,V1
16214,TR016214,EXP016214,Missing receipt,Policy exception approved,286.41,,,,,,,,,,,4,V1
16216,TR016216,EXP016216,Late submission,Policy exception approved,351.03,,,,,,,,,,,3,V1
16221,TR016221,EXP016221,,Partial reimbursement,210.39,,Rebooked flight,Route change,Alternative hotel selected,Availability,,,,Airport congestion,,0,V24
16224,TR016224,EXP016224,,Policy exception approved,297.73,,,,,,,,,,,3,V1
16225,TR016225,EXP016225,,Policy exception approved,283.7,,,,,,,,,,,1,V1
16229,TR016229,EXP016229,,Policy exception approved,380.37,,Rebooked flight,Route change,,,,,,,,3,V4
16232,TR016232,EXP016232,,Standard travel reimbursement,372.23,,,,,,Updated Fiat 500 electric,183.28,Safety concern,,,3,V1
16238,TR016238,EXP016238,Out of policy,Standard travel reimbursement,189.68,,,,,,Updated Volkswagen Golf diesel,-32.04,Time constraints,,,1,V13
16243,TR016243,EXP016243,,Standard travel reimbursement,277.07,,,,,,,,,,,4,V20
16253,TR016253,EXP016253,,Policy exception approved,449.29,,,,New hotel chosen,Hotel overbooked,,,,,,0,V1
16259,TR016259,EXP016259,,Policy exception approved,321.08,,,,,,,,,,,3,V1
16260,TR016260,EXP016260,,Policy exception approved,544.6,,,,,,,,,,,3,V16
16262,TR016262,EXP016262,,Partial reimbursement,502.38,,,,,,,,,,,2,V1
16267,TR016267,EXP016267,,Partial reimbursement,168.16,,Rebooked flight,Cheaper fare,Alternative hotel selected,Quality issue,Updated Economy Flight,114.2,Cost optimization,,,2,V5
16272,TR016272,EXP016272,,Partial reimbursement,205.71,,,,,,,,,,,2,V1
16275,TR016275,EXP016275,,Partial reimbursement,210.1,,Rebooked flight,Schedule conflict,,,,,,,,2,V23
16278,TR016278,EXP016278,,Partial reimbursement,502.92,,,,,,,,,,,3,V1
16292,TR016292,EXP016292,,Standard travel reimbursement,329.56,,,,,,Updated BMW 3 diesel,211.91,Client preference,,,1,V13
16294,TR016294,EXP016294,Missing receipt,Standard travel reimbursement,522.42,,,,,,,,,,,0,V1
16296,TR016296,EXP016296,,Policy exception approved,404.6,,Rebooked flight,Route change,Alternative hotel selected,Rate change,,,,,,2,V5
16298,TR016298,EXP016298,,Policy exception approved,481.08,,,,,,,,,,4.0,2,V19
16299,TR016299,EXP016299,,Partial reimbursement,264.5,,,,New hotel chosen,Rate change,,,,,,4,V1
16300,TR016300,EXP016300,,Standard travel reimbursement,426.51,,,,,,,,,,3.0,2,V17
16302,TR016302,EXP016302,,Policy exception approved,318.76,,,,,,,,,,,4,V20
16304,TR016304,EXP016304,Missing receipt,Policy exception approved,103.99,Vehicle issue,,,,,,,,,,1,V12
16305,TR016305,EXP016305,,Partial reimbursement,400.69,,Rebooked rental,Schedule conflict,,,Updated BMW 3 diesel,174.22,Safety concern,,,4,V15
16307,TR016307,EXP016307,Personal expense,Policy exception approved,381.91,,,,,,Updated Business Class Flight,10.84,Cost optimization,Mechanical issue,,2,V20
16308,TR016308,EXP016308,Out of policy,Policy exception approved,251.96,,,,New hotel chosen,Hotel overbooked,,,,,,4,V16
16309,TR016309,EXP016309,,Standard travel reimbursement,516.18,,,,New hotel chosen,Location preference,,,,,4.0,2,V18
16315,TR016315,EXP016315,,Partial reimbursement,519.17,,,,,,,,,,,3,V13
16316,TR016316,EXP016316,,Partial reimbursement,386.73,,,,,,,,,,,4,V21
16321,TR016321,EXP016321,,Standard travel reimbursement,370.7,,,,,,,,,,,3,V16
16323,TR016323,EXP016323,,Standard travel reimbursement,449.66,,,,,,,,,,,4,V16
16327,TR016327,EXP016327,,Partial reimbursement,284.6,,,,,,,,,,3.0,4,V17
16330,TR016330,EXP016330,,Policy exception approved,152.87,,,,,,Updated Economy Flight,38.15,Safety concern,,,1,V1
16331,TR016331,EXP016331,,Policy exception approved,470.98,,,,,,,,,,4.0,2,V18
16333,TR016333,EXP016333,,Standard travel reimbursement,401.8,Operational issue,,,,,Updated Economy Flight,-225.42,Safety concern,,,1,V1
16339,TR016339,EXP016339,,Policy exception approved,348.74,,,,,,,,,,,4,V1
16348,TR016348,EXP016348,,Partial reimbursement,194.69,,,,New hotel chosen,Rate change,,,,,,1,V1
16351,TR016351,EXP016351,Out of policy,Partial reimbursement,346.69,,,,New hotel chosen,Hotel overbooked,Updated Business Class Flight,-30.5,Cost optimization,,,2,V1
16354,TR016354,EXP016354,,Standard travel reimbursement,187.33,,,,,,,,,,,4,V1
16357,TR016357,EXP016357,,Partial reimbursement,270.44,,,,,,,,,,,1,V1
16363,TR016363,EXP016363,,Policy exception approved,229.92,,,,,,,,,Mechanical issue,,2,V1
16377,TR016377,EXP016377,,Partial reimbursement,186.15,,Rebooked rental,Cheaper fare,,,,,,,,2,V23
16381,TR016381,EXP016381,Late submission,Policy exception approved,305.02,,Rebooked flight,Cheaper fare,,,Updated First Class Flight,172.01,Time constraints,,,0,V15
16384,TR016384,EXP016384,,Policy exception approved,187.49,,,,,,,,,,,4,V1
16387,TR016387,EXP016387,,Partial reimbursement,309.19,,,,,,,,,,,0,V1
16400,TR016400,EXP016400,Personal expense,Policy exception approved,273.22,,,,,,,,,,2.0,4,V19
16402,TR016402,EXP016402,,Standard travel reimbursement,225.45,,,,New hotel chosen,Quality issue,,,,,,2,V1
16404,TR016404,EXP016404,,Policy exception approved,433.14,,,,,,,,,,,2,V1
16405,TR016405,EXP016405,,Partial reimbursement,145.63,,,,,,,,,,3.0,1,V19
16408,TR016408,EXP016408,,Policy exception approved,451.19,,,,,,,,,,,1,V1
16410,TR016410,EXP016410,,Policy exception approved,384.74,,,,,,,,,,,4,V1
16420,TR016420,EXP016420,,Standard travel reimbursement,388.22,,,,,,,,,,,0,V6
16425,TR016425,EXP016425,,Partial reimbursement,184.81,,,,,,,,,,,0,V1
16430,TR016430,EXP016430,,Policy exception approved,315.96,,,,New hotel chosen,Hotel overbooked,,,,Airport congestion,,4,V28
16435,TR016435,EXP016435,,Policy exception approved,236.23,,Rebooked flight,Route change,New hotel chosen,Location preference,Updated Business Class Flight,51.99,Client preference,Mechanical issue,,4,V15
16441,TR016441,EXP016441,Out of policy,Partial reimbursement,463.61,,,,,,,,,,,1,V1
16447,TR016447,EXP016447,,Standard travel reimbursement,534.52,,,,,,,,,,,3,V1
16449,TR016449,EXP016449,,Policy exception approved,393.39,,,,,,,,,,,4,V1
16454,TR016454,EXP016454,,Standard travel reimbursement,231.77,,,,,,,,,Weather delay,,4,V11
16457,TR016457,EXP016457,,Partial reimbursement,380.7,Operational issue,Rebooked flight,Better schedule,,,,,,Mechanical issue,3.0,3,V17
16458,TR016458,EXP016458,,Partial reimbursement,140.55,,,,,,,,,,,3,V13
16460,TR016460,EXP016460,,Standard travel reimbursement,384.76,,Rebooked rental,Schedule conflict,Alternative hotel selected,Quality issue,,,,,,4,V24
16465,TR016465,EXP016465,,Partial reimbursement,454.73,,,,,,,,,,,3,V1
16468,TR016468,EXP016468,,Policy exception approved,560.05,,,,,,,,,,,3,V1
16469,TR016469,EXP016469,,Policy exception approved,551.91,,,,,,,,,,,3,V1
16475,TR016475,EXP016475,Out of policy,Standard travel reimbursement,364.91,,,,,,,,,,,1,V1
16478,TR016478,EXP016478,,Partial reimbursement,246.66,,,,,,,,,Weather delay,,4,V11
16480,TR016480,EXP016480,,Partial reimbursement,376.27,,,,,,,,,,,4,V1
16481,TR016481,EXP016481,,Standard travel reimbursement,226.27,Operational issue,Rebooked flight,Route change,Alternative hotel selected,Location preference,,,,Security screening,,3,V24
16482,TR016482,EXP016482,,Partial reimbursement,517.95,,,,,,,,,,,0,V16
16489,TR016489,EXP016489,,Standard travel reimbursement,561.54,,,,,,,,,,,4,V21
16496,TR016496,EXP016496,Personal expense,Standard travel reimbursement,146.52,,Rebooked flight,Better schedule,Alternative hotel selected,Availability,,,,,,2,V24
16498,TR016498,EXP016498,Out of policy,Standard travel reimbursement,548.64,,,,New hotel chosen,Quality issue,,,,,,2,V26
16502,TR016502,EXP016502,,Policy exception approved,144.63,,,,,,,,,,,3,V1
16504,TR016504,EXP016504,,Policy exception approved,482.94,,,,,,,,,,4.0,4,V18
16510,TR016510,EXP016510,,Partial reimbursement,350.15,,,,,,,,,,,3,V1
16523,TR016523,EXP016523,,Standard travel reimbursement,490.92,,Rebooked flight,Schedule conflict,,,,,,Weather delay,,3,V9
16527,TR016527,EXP016527,,Partial reimbursement,266.96,,,,,,,,,,4.0,2,V18
16529,TR016529,EXP016529,,Partial reimbursement,288.17,,,,,,,,,,,4,V1
16533,TR016533,EXP016533,,Policy exception approved,128.86,,Rebooked flight,Cheaper fare,Alternative hotel selected,Rate change,,,,,,2,V24
16534,TR016534,EXP016534,,Partial reimbursement,192.0,,,,,,,,,,,1,V1
16540,TR016540,EXP016540,,Partial reimbursement,493.7,,,,,,,,,,,0,V25
16552,TR016552,EXP016552,Personal expense,Partial reimbursement,142.46,,,,,,,,,,,3,V1
16558,TR016558,EXP016558,Missing receipt,Standard travel reimbursement,166.77,,,,,,,,,Weather delay,,0,V11
16559,TR016559,EXP016559,,Partial reimbursement,445.57,Track maintenance,,,,,,,,,,3,V12
16566,TR016566,EXP016566,,Partial reimbursement,385.23,,,,,,,,,,,0,V14
16568,TR016568,EXP016568,,Policy exception approved,224.97,,,,,,Updated Economy Flight,51.1,Time constraints,,,2,V1
16570,TR016570,EXP016570,,Policy exception approved,502.16,,,,,,,,,,,0,V16
16571,TR016571,EXP016571,,Standard travel reimbursement,407.24,,,,,,,,,,4.0,2,V17
16572,TR016572,EXP016572,,Policy exception approved,414.0,,,,,,,,,,,2,V21
16575,TR016575,EXP016575,Personal expense,Standard travel reimbursement,509.98,,,,,,,,,,4.0,2,V17
16581,TR016581,EXP016581,,Standard travel reimbursement,129.55,,,,,,Updated Volkswagen Golf diesel,-27.16,Client preference,,2.0,1,V19
16591,TR016591,EXP016591,,Partial reimbursement,369.24,,,,,,,,,Rental desk queue,,3,V11
16598,TR016598,EXP016598,,Standard travel reimbursement,547.83,,,,,,,,,,3.0,1,V19
16600,TR016600,EXP016600,,Policy exception approved,472.86,,,,,,,,,,,0,V25
16606,TR016606,EXP016606,,Partial reimbursement,376.76,,,,New hotel chosen,Hotel overbooked,,,,,3.0,1,V17
16608,TR016608,EXP016608,,Policy exception approved,414.86,,,,,,,,,,,1,V1
16614,TR016614,EXP016614,,Standard travel reimbursement,580.19,,,,,,,,,,1.0,4,V17
16615,TR016615,EXP016615,Late submission,Partial reimbursement,450.37,,,,,,,,,,,2,V1
16619,TR016619,EXP016619,,Policy exception approved,477.37,,,,,,,,,,,4,V1
16640,TR016640,EXP016640,,Policy exception approved,156.21,,,,,,,,,,,4,V1
16644,TR016644,EXP016644,,Policy exception approved,146.67,,,,,,,,,,,2,V1
16646,TR016646,EXP016646,Missing receipt,Standard travel reimbursement,489.97,,,,,,,,,,,2,V1
16647,TR016647,EXP016647,,Partial reimbursement,436.22,,,,New hotel chosen,Hotel overbooked,,,,Security screening,,2,V1
16648,TR016648,EXP016648,,Standard travel reimbursement,594.79,,,,,,,,,Airport congestion,,0,V11
16650,TR016650,EXP016650,,Policy exception approved,270.5,,,,,,,,,,,1,V16
16651,TR016651,EXP016651,,Partial reimbursement,346.68,,,,,,,,,,,4,V1
16653,TR016653,EXP016653,,Standard travel reimbursement,542.29,,,,,,Updated Business Class Flight,64.26,Cost optimization,,4.0,4,V18
16658,TR016658,EXP016658,,Standard travel reimbursement,129.22,,,,,,,,,,,0,V26
16666,TR016666,EXP016666,,Standard travel reimbursement,474.21,,,,New hotel chosen,Rate change,,,,,,4,V20
16667,TR016667,EXP016667,,Standard travel reimbursement,266.13,,Rebooked flight,Route change,,,Updated Economy Flight,-114.23,Time constraints,,,1,V15
16668,TR016668,EXP016668,,Standard travel reimbursement,248.45,,,,,,,,,,,1,V1
16672,TR016672,EXP016672,,Policy exception approved,467.97,,,,New hotel chosen,Quality issue,,,,,,0,V1
